time,,company,likes,comments,shares,url,text,object1 ,object2,object3,obj4,obj5,max_fine_recog,semantic_seg_perc,obj_sem_seg,similarity,total_engage
2023-10-16T10:22:00.000Z,,Microsoft,20,1,0,https://www.facebook.com/MicrosoftIndia/posts/pfbid0yAajPMMYPxvw7LgQZ2iSHth3CvLYAMDi5AJ6QcCuEuieQhvM3c35HZ2pLzFVUiG5l,"With Copilot in Teams chat and Teams Phone—stay on top of your discussions, capture important information, and follow up on action items:",0.98,0.01,0.01,0.01,0,0.98,0.99,obj1,0.141940951347351,21
2023-10-16T05:17:46.000Z,,Microsoft,16,1,0,https://www.facebook.com/MicrosoftIndia/posts/652792913635205,Organizations that embrace AI will unleash creativity and unlock productivity for everyone — ushering in a new wave of productivity growth and value creation:,0.19,0.08,0.04,0.03,0.03,0.19,0.58,obj3,0.213591173291206,17
2023-10-13T06:14:59.000Z,,Microsoft,14,16,0,https://www.facebook.com/MicrosoftIndia/posts/pfbid02Keu37pGMpr36jjwXeTKHUvHyVVLPUEQuMXhAF9fXVGBokyNFSZir8yDSCWZoL1Bfl,"If you want to: 

️ Design and implement Zero Trust solutions 
 Translate strategy into capabilities 
 Collaborate with security experts 

—then you might be ready for our Microsoft cybersecurity architect exam. Start prepping today:",0.42,0.25,0.03,0.03,0.02,0.42,0.38,obj3,0.150977119803428,30
2023-10-13T06:11:51.000Z,,Microsoft,19,1,2,https://www.facebook.com/MicrosoftIndia/posts/pfbid02oD5X5f4FavLHzHE1JjnJFJwAKHFVAc9yxwCjWbjWwVXvJiJBWKKEsNVC89oVTCBZl,Python in Excel—bringing together the features you know and love with powerful data analysis tools to help you organize and visualize your data. Read the announcement: http://msft.it/61899ttcS #Excel,0.88,0.01,0.01,0.01,0,0.88,0.91,obj1,0.160229116678237,22
2023-12-05T17:46:52.000Z,,Berkshire Hathways,728,38,52,https://www.facebook.com/BHHSRealEstate/posts/pfbid02A8J48KJkGwri5ApbLWUGUnVQytADMSWdnRqtCJ1HTyPDDquy7bjty7F8FBiepeT5l,"We always knew Spain was special—and now it has been confirmed that the country is home to the top three best places to live by InterNations, the largest global community for people who live and work abroad—with Malaga, Alicante, and Valencia sweeping the podium spots. 

Madrid and Barcelona also ranked high on the list—coming in at 6th and 13th respectively—giving Spain an impressive 5 cities in the Top 20.

In October 2019, we announced our network growth into Spain. Today, we have network offices in Madrid, Barcelona, Marbella, Mallorca, and Costa Blanca, so, if you are considering a home away from home, why not reach out to one of the team of real estate pros from Berkshire Hathaway HomeServices Spain, led by Bruno Rabassa Roig (pictured), to help turn your overseas property dreams into reality?

You can read the full list of InterNations’ top cities to live in via the link below.

https://www.forbes.com/sites/laurabegleybloom/2023/11/19/ranked-the-worlds-20-best-cities-to-live-according-to-expats/?sh=5f7c3bc43465",0.65,0.02,0.02,0.01,0.01,0.65,0.6,obj1,0.225433140993118,818
2023-10-12T11:07:45.000Z,,Microsoft,9,1,0,https://www.facebook.com/MicrosoftIndia/posts/650621980518965,Celebrate the twentieth anniversary of Cybersecurity Awareness Month with practical resources to help educate yourself and your organization on security best practices. Kick off this important moment with skilling opportunities: http://msft.it/61899tuvN #BeCyberSmart #SecureOurWorld,0.51,0.04,0.03,0.03,0.02,0.51,0.12,obj4,0.181790560483932,10
2023-11-29T17:00:23.000Z,,Berkshire Hathways,599,23,352,https://www.facebook.com/BHHSRealEstate/posts/pfbid0oqLXeAXbEkzdstPTRMkSuYQxD8WhWxANerJ7UJeTdVPrj97uucRsMkvVvUirZXg5l,"Don't let the winter chill put your home sale on ice. In this latest #GTK blog post, discover how to make your property irresistible to motivated winter buyers. Corporate relocations often happen before the new year, and families want to secure their new home before the new school semester begins. Learn how to decorate for coziness, infuse inviting aromas, and create a warm welcome. 
 
Just click the link below to read. Questions? Get in touch with Your Forever Agent® today.
 
https://www.bhhs.com/blog/blog-detail/2023/10/yes,-winter-is-a-great-time-to-sell-your-home.html",0.12,0.06,0.06,0.04,0.04,0.12,0.83,obj3,0.16875521838665,974
2023-11-28T17:02:38.000Z,,Berkshire Hathways,1154,107,102,https://www.facebook.com/BHHSRealEstate/posts/pfbid02XudtyYSXpNCE3GxZM5St9AL6Af6zhfmYeC6XGRJDF3LKPxVvg8VUQtwvx8cHenjel,"We’re just loving the new Berkshire Hathaway HomeServices London office on Sloane Avenue. Ideally situated moments from Sloane Square and Knightsbridge, the office will service Knightsbridge, Belgravia, Chelsea, and South Kensington, offering some of the most prestigious prime and super prime properties in this desirable London enclave.

Offering all our congratulations to Martin Bikhit and team for this exciting expansion.",0.42,0.22,0.09,0.03,0.02,0.42,0.57,obj2,0.195719227194786,1363
2023-06-28T09:00:02.000Z,,Microsoft,50,51,0,https://www.facebook.com/MicrosoftIndia/posts/pfbid02cmwnxg53VXgx9nPbqewSJaJiKG6k7dcRWyeCUxAsxbUuxBfJoGspkzxTfGLxQaxql,"What if we told you there's an easy way to improve your focus and productivity, and it only takes two minutes? Explore the breakthrough idea behind the Breakthru app for Microsoft Teams:",0.36,0.17,0.13,0.06,0.03,0.36,0.17,obj2,0.187676891684532,101
2023-05-29T06:11:26.000Z,,Microsoft,351,56,13,https://www.facebook.com/MicrosoftIndia/posts/pfbid02QejweTh7t15XqxnXkSi6fWvgMNpyWmrTcAHcboHdrKaHdnaT2jpy4XtU9mYq2Thgl,"Regards,
Microsoft",0.74,0.22,0.01,0.01,0,0.74,0.82,obj1,0.135425940155982,420
